date;parc;usage;revenu
01/01/2022;6637936;15272729,9;619037,4289
02/01/2022;6618074;10408295,16;443105,7514
03/01/2022;6584383;11229130,58;520244,0255
04/01/2022;6601321;10951782,5;485757,9554
05/01/2022;6585386;11665418,91;536006,0784
06/01/2022;6587778;11629304,57;539280,5598
07/01/2022;6585107;11685661,86;529017,6892
08/01/2022;6590615;11976965,81;526609,5167
09/01/2022;6566458;10419802,92;455532,8051
10/01/2022;6579821;12082248,75;556129,5971
11/01/2022;6604324;12437974,92;537107,4059
12/01/2022;6629062;11956402,55;512551,4064
13/01/2022;6627180;11468653,83;496149,1745
14/01/2022;6647892;11844933,9;512929,676
15/01/2022;6653513;11484281,74;492176,3127
16/01/2022;6644806;10431310,67;434078,1761
17/01/2022;6643611;11282551,16;491887,3142
18/01/2022;6643611;11532266,69;500389,2422
19/01/2022;6659232;11460860,35;506720,324
20/01/2022;6689043;12109706,39;508673,9623
21/01/2022;6682198;11714330,32;500221,0775
22/01/2022;6669606;11483412,2;510328,9162
23/01/2022;6645685;10594740,27;433630,8043
24/01/2022;6590414;11613659,72;520642,3799
25/01/2022;6592715;11568897,04;501096,7539
26/01/2022;6592445;11313855,68;501732,2691
27/01/2022;6563799;11623586;508952,8799
28/01/2022;6623586;11867144,47;520455,0005
29/01/2022;6598471;11902084,51;524963,7132
30/01/2022;6563623;10797647,98;450349,7594
31/01/2022;6529671;11601727,78;525868,0358
01/02/2022;6528334;11786817,51;534690,6255
02/02/2022;6527180;11922771,54;529032,4206
03/02/2022;6517255;11684020,32;522837,3892
04/02/2022;6514728;11924900,55;533496,4971
05/02/2022;6496982;12200417,19;547897,3975
06/02/2022;6470529;10849190,56;457359,6663
07/02/2022;6458855;12098749,5;561758,1725
08/02/2022;6467844;12271489,01;546749,0382
09/02/2022;6463752;12373459,26;543355,0162
10/02/2022;6445175;12122637,09;536702,9657
11/02/2022;6420979;11988595,74;537299,1029
12/02/2022;6417997;12205725,43;541118,2294
13/02/2022;6391361;10582552,82;439764,233
14/02/2022;6379207;11957443,7;569497,7083
15/02/2022;6374299;12015273,25;527943,2201
16/02/2022;6363810;11654195,39;524006,699
17/02/2022;6347630;11703908,15;525051,2348
18/02/2022;6339723;11890112,35;493920,4211
19/02/2022;6316600;11756014,86;500473,2824
20/02/2022;6305952;10737222,2;424580,6612
21/02/2022;6312988;11702611,46;518839,4309
22/02/2022;6322375;12215175,45;500400,6005
23/02/2022;6327612;11865496;504230,6745
24/02/2022;6341713;11833224,2;500954,6525
25/02/2022;6351132;12180773,38;539481,0613
26/02/2022;6357704;12278195,33;536769,4529
27/02/2022;6360686;11351475,78;457628,2903
28/02/2022;6379173;12539275,82;568475,3696
01/03/2022;6326992;11441756,42;520669,0652
02/03/2022;6387066;11694925,71;557400,8098
03/03/2022;6401463;12117100,66;562108,4975
04/03/2022;6413191;11908553,92;550580,0765
05/03/2022;6428444;12134373,74;617132,6951
06/03/2022;6431010;11115018,16;490790,4902
07/03/2022;6441182;12469661,6;594819,0343
