date;Parc;Usage;Revenu;Service;Operateur
31/01/2018;3446532;69177747,43;7095073,567;Global;Africell
28/02/2018;3467211;65596704,06;6680761,944;Global;Africell
31/03/2018;3513457;77395548,57;7559165,488;Global;Africell
30/04/2018;3593212;69424470,82;7315253,873;Global;Africell
31/05/2018;3646751;75186941,28;7758109,888;Global;Africell
30/06/2018;3713197;76698587,89;7729819,518;Global;Africell
31/07/2018;3753299;83354682,22;8410210,923;Global;Africell
31/08/2018;3831368;83756228,56;8468206,955;Global;Africell
30/09/2018;3867128;76503289,27;8153469,424;Global;Africell
31/10/2018;3906959;83943444,54;8326506,096;Global;Africell
30/11/2018;3942122;78603538,82;8072470,312;Global;Africell
31/12/2018;3922308;75165714,69;8802683,517;Global;Africell
31/01/2019;3857982;89107855,9;8339884,688;Global;Africell
28/02/2019;3819016;74328239,67;7951380,005;Global;Africell
31/03/2019;3786919;82471050,52;8871175,229;Global;Africell
30/04/2019;3802445;84069268,59;8798609,754;Global;Africell
31/05/2019;3801684;86269125,54;9138564,759;Global;Africell
30/06/2019;3810149;85572178,96;9105627,33;Global;Africell
31/07/2019;3871873;95867614,33;10116248,06;Global;Africell
31/08/2019;3940018;94362959,77;10372700,45;Global;Africell
30/09/2019;4012482;99073800,99;9824022,495;Global;Africell
31/10/2019;4031741;93166609,66;10111176,39;Global;Africell
30/11/2019;4025291;92015292,84;9786990,098;Global;Africell
31/12/2019;4022009;98717043,5;10432595,59;Global;Africell
31/01/2020;4014769;88675321,54;9867322,293;Global;Africell
29/02/2020;4001119;85463327,11;9450122,773;Global;Africell
31/03/2020;3978580;94722105,88;10330645,49;Global;Africell
30/04/2020;3958462;74989276;8639501;Global;Africell
31/05/2020;3921314;75455898;8738466;Global;Africell
30/06/2020;3910794;75276280;8556757;Global;Africell
31/07/2020;3965894;81343930;8997895;Global;Africell
31/08/2020;4010105;86458345;9356394;Global;Africell
30/09/2020;4041836;87175138;9591269;Global;Africell
31/10/2020;4049301;89519782;9856695;Global;Africell
30/11/2020;4096145;85176735;9479882;Global;Africell
