date;Parc;Usage;Revenu
01/01/2021;5178;10444,69;615,66
02/01/2021;3808;7669,21;473,96
03/01/2021;3527;7099,51;437,71
04/01/2021;3932;7920,7;486,31
05/01/2021;4149;8360,29;514,61
06/01/2021;4146;8353,91;509,29
07/01/2021;4106;8273,36;503,88
08/01/2021;4200;8463,69;512,1
09/01/2021;4110;8281,02;504,59
10/01/2021;3687;7423,07;447,38
11/01/2021;4113;8285,86;506,37
12/01/2021;4152;8365,9;506,01
13/01/2021;4157;8376,61;500,05
14/01/2021;4065;8190,3;494,6
15/01/2021;4131;8322,97;500,85
16/01/2021;5136;10359,46;479,97
17/01/2021;4642;9358,12;418,57
18/01/2021;4322;8710,15;467,24
19/01/2021;4167;8396,57;489,51
20/01/2021;4233;8529,56;493,09
21/01/2021;4108;8277,21;474,32
22/01/2021;4034;8126,01;474,22
23/01/2021;4009;8076,27;471,99
24/01/2021;3579;7204,67;414,08
25/01/2021;4024;8106,8;482,88
26/01/2021;4102;8265,04;486,1
27/01/2021;4077;8213,9;482,97
28/01/2021;4077;8213,07;487,47
29/01/2021;4149;8360,31;493,79
30/01/2021;3876;7805,95;454,32
31/01/2021;3650;7348,51;440,45
01/02/2021;4233;8529,6;508,78
02/02/2021;4318;8701,99;509,65
03/02/2021;4317;8699,89;502,78
04/02/2021;4246;8555,59;500,42
05/02/2021;4336;8738,7;513,2
06/02/2021;4226;8515,66;500,1
07/02/2021;3848;7749,96;444,52
08/02/2021;4457;8983,39;516,5
09/02/2021;4180;8421,41;498,58
10/02/2021;4284;8633,95;507,61
11/02/2021;4246;8556,59;504,41
12/02/2021;4169;8399,29;503,27
13/02/2021;4098;8256,07;495,35
14/02/2021;3745;7541,48;452,07
15/02/2021;4181;8425,1;506,24
16/02/2021;4147;8356,46;496,19
17/02/2021;4130;8320,38;490,84
18/02/2021;4016;8089,55;485,53
19/02/2021;3877;7809,15;464,49
20/02/2021;4266;8595,96;481,62
21/02/2021;3737;7523,73;422,21
22/02/2021;4215;8493,55;497,57
23/02/2021;4166;8393,13;483,23
24/02/2021;4095;8249,65;475,7
25/02/2021;4131;8322,7;483,58
26/02/2021;4199;8460,45;490,06
27/02/2021;4146;8353,1;501,09
28/02/2021;3752;7554,37;443,94
01/03/2021;4186;8433,85;507,39
02/03/2021;3895;7844,84;465,74
03/03/2021;4137;8335,47;508,75
04/03/2021;3439;6920,3;425,77
05/03/2021;2516;5051,46;365,96
06/03/2021;3882;7818,1;481,03
07/03/2021;3744;7538,38;428,99
08/03/2021;4272;8609,09;519,12
09/03/2021;4258;8581,2;505,37
10/03/2021;4227;8517,65;501,8
11/03/2021;4155;8371,8;500,03
12/03/2021;4169;8401,05;497,05
13/03/2021;4258;8581,3;512,92
14/03/2021;3817;7686,09;448,21
15/03/2021;4252;8568,43;506,53
16/03/2021;3925;7905,47;456,77
17/03/2021;4341;8747,82;506,15
18/03/2021;4204;8470,73;489,53
19/03/2021;4217;8497,3;504,27
20/03/2021;4301;8667,42;504,86
21/03/2021;3847;7747,29;438,89
22/03/2021;4265;8594,45;502,09
23/03/2021;4332;8731,14;498,53
24/03/2021;4249;8561,57;482,99
25/03/2021;4304;8672,69;500,18
26/03/2021;4308;8681,85;495,44
27/03/2021;4365;8797,31;507,1
28/03/2021;3858;7770,12;438,03
29/03/2021;4344;8753,68;503,95
30/03/2021;4346;8759,56;502,66
31/03/2021;4297;8659,5;496,46
01/04/2021;4550;9172,88;522,03
02/04/2021;4451;8971,62;508,07
03/04/2021;4436;8941,88;519,05
04/04/2021;4002;8061,37;461,71
05/04/2021;4388;8843,42;526,99
06/04/2021;4329;8725,02;523,06
07/04/2021;4348;8763,33;518,08
08/04/2021;4557;9185,97;522,39
09/04/2021;4625;9324,38;516,92
10/04/2021;4629;9332,01;517,62
11/04/2021;4240;8542,99;466,5
12/04/2021;4437;8942,5;516,26
13/04/2021;4558;9187,62;501,51
14/04/2021;4482;9033,66;508,38
15/04/2021;4499;9068,85;509,06
16/04/2021;4416;8899,57;506,54
17/04/2021;4366;8799,69;517,46
18/04/2021;3841;7735,6;440,6
19/04/2021;4293;8652,25;501,26
20/04/2021;4367;8800,48;508,69
21/04/2021;4252;8568,97;480,25
22/04/2021;4412;8891,61;503,48
23/04/2021;4557;9186,3;488,2
24/04/2021;4710;9496,68;511,11
25/04/2021;4301;8667,33;453,32
26/04/2021;4599;9271,83;510,98
27/04/2021;4655;9385;495,26
28/04/2021;5114;10314,22;507,14
29/04/2021;4696;9466,86;514,25
30/04/2021;4676;9426,3;519,54
01/05/2021;4541;9153,83;488,97
02/05/2021;4200;8462,36;456,96
03/05/2021;4492;9053,9;521,7
04/05/2021;4583;9238,57;534,88
05/05/2021;4454;8978,17;512,85
06/05/2021;4384;8835,2;522,57
07/05/2021;4286;8636,28;515,04
08/05/2021;4191;8445,17;513,2
09/05/2021;3750;7550,48;449,92
10/05/2021;4405;8877,2;497,94
11/05/2021;4454;8977,15;480,62
12/05/2021;4603;9279,72;504,02
13/05/2021;4603;9278,77;504,67
14/05/2021;4561;9195,13;500,02
15/05/2021;4792;9662,46;520,07
16/05/2021;4357;8780,23;459,37
17/05/2021;4561;9194,45;493,82
18/05/2021;4707;9490,57;511,5
19/05/2021;4732;9539,75;507,82
20/05/2021;4817;9712,89;514,03
21/05/2021;4846;9772,16;514,64
22/05/2021;4951;9983,92;529,24
23/05/2021;4519;9109,9;455,43
24/05/2021;4811;9701,4;517,88
25/05/2021;4894;9868,53;515,33
26/05/2021;4955;9992,33;509,5
27/05/2021;5136;10358,94;532,51
28/05/2021;5082;10249,81;526,04
29/05/2021;4997;10076,84;517,53
30/05/2021;4569;9209,94;459,69
31/05/2021;5002;10087,59;530,66
01/06/2021;5158;10404,58;525,33
02/06/2021;5082;10250,08;526,84
03/06/2021;5215;10518,73;536,23
04/06/2021;5151;10389,48;533,95
05/06/2021;5155;10398,09;528,71
06/06/2021;4758;9593,33;467,62
07/06/2021;5186;10460,73;543,16
08/06/2021;5206;10501,38;535,47
09/06/2021;5274;10639,73;530,98
10/06/2021;5277;10645,39;529,93
11/06/2021;5290;10671,26;530,23
12/06/2021;5154;10395,16;524,93
13/06/2021;4728;9531,77;468,81
14/06/2021;5157;10402,64;533,92
15/06/2021;5212;10512,34;521,33
16/06/2021;5169;10426,28;521,64
17/06/2021;5175;10437,27;523,47
18/06/2021;4940;9961,88;470,33
19/06/2021;4546;9163,98;542,31
20/06/2021;4778;9634,42;473,17
21/06/2021;5145;10376,5;543,33
22/06/2021;5496;11087,68;530,6
23/06/2021;5391;10876,31;529,32
24/06/2021;5270;10631,16;532,79
25/06/2021;5504;11104,1;540,15
26/06/2021;5481;11058,92;529,76
27/06/2021;4701;9477,25;448,73
28/06/2021;5021;10125,47;524,47
29/06/2021;5473;11042,4;541,06
30/06/2021;5352;10797,77;514,62
01/07/2021;5259;10607,7;533,63
02/07/2021;5387;10867,19;527,34
03/07/2021;5488;11072,73;533,33
04/07/2021;4908;9898,16;470,55
05/07/2021;5366;10825,99;542,92
06/07/2021;5418;10930,78;535,38
07/07/2021;5433;10960,49;534,94
08/07/2021;5406;10905,73;534,81
09/07/2021;5503;11102,32;553,64
10/07/2021;5570;11238,3;558,01
11/07/2021;5074;10233,5;489,64
12/07/2021;5567;11232,99;562,26
13/07/2021;5493;11082,64;547,06
14/07/2021;5486;11069,16;542,43
15/07/2021;5389;10871,5;535,77
16/07/2021;5553;11203,56;544,44
17/07/2021;5506;11108,92;531,86
18/07/2021;5036;10157,49;473,3
19/07/2021;5411;10916,01;537,02
20/07/2021;5482;11059,24;527,94
21/07/2021;5481;11058,14;524,94
22/07/2021;5590;11278,38;524,06
23/07/2021;5586;11271,25;521,78
24/07/2021;5553;11203,47;518,76
25/07/2021;5120;10326,75;453,28
26/07/2021;5508;11112,69;515,43
27/07/2021;5679;11459,19;517,52
28/07/2021;5705;11513,01;516,69
29/07/2021;5938;11983,34;504,25
30/07/2021;5906;11919,82;522,19
31/07/2021;5466;11027,56;523,41
01/08/2021;5007;10097,07;458,67
02/08/2021;5366;10824,27;518,42
03/08/2021;5589;11276,5;526,47
04/08/2021;5613;11324,89;537,73
05/08/2021;5537;11172,34;531,42
06/08/2021;5199;10487,62;493,31
07/08/2021;5020;10124,67;517,43
08/08/2021;4903;9887,15;461,22
09/08/2021;5246;10582,43;528,59
10/08/2021;5455;11004,91;528,1
11/08/2021;5564;11226,97;523,49
12/08/2021;5475;11045,25;513,99
13/08/2021;5523;11143,46;521,11
14/08/2021;5522;11141,27;517,17
15/08/2021;5184;10456,64;461,77
16/08/2021;5678;11456,7;538,93
17/08/2021;5781;11666,1;527,61
18/08/2021;5646;11393,27;521,02
19/08/2021;5609;11317,26;526,87
20/08/2021;5798;11700,65;521,54
21/08/2021;5583;11265,15;509,18
22/08/2021;5229;10547,69;463,76
23/08/2021;5763;11629,61;538,53
24/08/2021;5606;11311,96;523,97
25/08/2021;5551;11200,97;522,69
26/08/2021;5589;11276,25;515,13
27/08/2021;5532;11161,2;526,24
28/08/2021;5837;11779,16;535,69
29/08/2021;5423;10940,55;483,89
30/08/2021;5655;11411,34;526,78
31/08/2021;5560;11218,98;549,61
01/09/2021;5890;11886,77;545,96
02/09/2021;5796;11695,67;545,99
03/09/2021;5880;11867,11;562,24
04/09/2021;5911;11929,73;561,8
05/09/2021;5464;11023,4;500,84
06/09/2021;6017;12144,06;579,17
07/09/2021;6001;12111,85;566,87
08/09/2021;6130;12373,91;578,52
09/09/2021;6006;12121,77;566,16
10/09/2021;5946;11999,73;567,66
11/09/2021;5796;11695,5;554,21
12/09/2021;5320;10731,13;498,59
13/09/2021;5904;11915,83;586,49
14/09/2021;5906;11920,26;569,29
15/09/2021;5804;11711,77;550,41
16/09/2021;5684;11469,79;542,14
17/09/2021;5935;11977,29;550,86
18/09/2021;5823;11751,99;539,12
19/09/2021;5189;10466,85;465,59
20/09/2021;5918;11942,95;568,44
21/09/2021;5942;11992,76;542,48
22/09/2021;5949;12006,72;530,61
23/09/2021;5739;11581,14;531,14
24/09/2021;5924;11955,6;543,79
25/09/2021;5858;11822,42;529,55
26/09/2021;5235;10559,34;466,66
27/09/2021;5663;11427,38;541,51
28/09/2021;5949;12005,94;541,78
29/09/2021;5929;11965,83;543,16
30/09/2021;5932;11972,45;543,95
01/10/2021;6009;12128,95;553,11
02/10/2021;5956;12021,03;565,33
03/10/2021;5438;10971,53;491,29
04/10/2021;6049;12208,1;593,33
05/10/2021;6583;13291,62;562,44
06/10/2021;6390;12899,46;583,38
07/10/2021;6081;12274,42;558,44
08/10/2021;6169;12453,12;579,09
09/10/2021;6258;12632,79;577,93
10/10/2021;5850;11806,46;501,09
11/10/2021;5966;12039,85;562,82
12/10/2021;5901;11909,93;580,47
13/10/2021;6147;12408,23;578,29
14/10/2021;6175;12464,57;559,62
15/10/2021;6509;13140,94;543,35
16/10/2021;6285;12687,16;539,73
17/10/2021;5754;11610,27;485,57
18/10/2021;5714;11529,58;554,05
19/10/2021;5798;11700,92;529,43
20/10/2021;5761;11625,93;529,72
21/10/2021;5647;11394,79;527,97
22/10/2021;5799;11701,82;520,11
23/10/2021;5772;11647,31;527,49
24/10/2021;5231;10551,08;454,95
25/10/2021;5516;11130,01;536,42
26/10/2021;5669;11439,44;532,23
27/10/2021;5703;11507,8;515,04
28/10/2021;5771;11646,35;540,8
29/10/2021;5502;11101,3;535,03
30/10/2021;6126;12365,53;552,33
31/10/2021;5319;10728,92;460,74
01/11/2021;5440;10974,08;555,35
02/11/2021;5774;11652,17;561,93
03/11/2021;5705;11512,44;554,47
04/11/2021;5765;11633,77;569,34
05/11/2021;5790;11684,1;570,23
